Account,Token Account,Quantity,Percentage
6tRXW4EL2cB9CfwboTGB8qjhYT6DyeoQ1HvpvRrY5p8v,FtauDdiJBQpHoX5gCYLNuJSiG7UtmFsH1EY1idDtxdZf,973186.18,0.1
EgGhEzWvwCZjxwMgi22uHC3nCCZDH4GpiuFxcU14YmZ9,2gXpQkKjiz4bjTQXL27SdJrAZoJ7MGiMconh3nrKN9N9,958340.65,0.1
VBUHKACvT86EDroSWwgyRZL2yJmtwk36ZbWsz2rkWt5,7rkoP8cRkr2GiZmJffsbptEZSRNKMEtpr2exNLG9uLNw,948205.23,0.09
H8bAZRXtzBk7Vdrpj9uPhUs6s1q4YAQnxUbTis7XVYs8,8nN69hc2qpukJ3AVPJ2kTaNahvMuoU1T79chUrVYi1BG,908949.48,0.09
HUoGJHcQdq56CmHBNSWxWNnXTHgGkZVZDmqNMF4bHrzf,9wG4rMiaXZxEhbzWr7zVUvFxBMyoFCFtD3Q3YZAJa6XR,904705.17,0.09
DivdgBgqbPoskAfsPDVTXRY94nJ3xMBqCgL13bQQVr9q,5yMszUWCA75svLxeGfbyMUMNMZfE8Rmueup87vvKHgyf,872673.18,0.09
HAnpU5WzQNARCFuJseXpaHjUcQE3ht3yfc5ASTF8ug5V,64DUbimfLSCJanTkiREYNA2E6wMA938J2CGyCX7dZd4r,854964.93,0.09
8KMpahdSsYUWK4V78PeMeByDAxy5QPKtNPuXLeWpMXAF,BpvzSyu4vNZbeiyASniNptjVWAyefxAiSQZtuR7pMoau,853892.31,0.09
GTqTcswBoYGNfCNCxptKDsCczz9oMvV8ytgfh1jSrUWb,9pALKu4D5QT19MYCqM6152ccVK9aFZAcAE2CwwMnVpeH,809622.39,0.08
8LF67177zq2K4z2QTZQbCsT635sTUn36Pyhrtyjb1mCw,h2BoibvHbehnw7sPg8aK5iYmFTywkkS6icVU9r3Rr4b,803795.45,0.08
8sSUduwWPCHcjDRCZEi14rxRpLKE5sKEFGfnyqCGWMDo,Dhj625LdnCEFptyVtro3T9bkBdLZ7yXSVKHRsxCx9yQc,736236.08,0.07
AenXvCTPuoxa6QoXk2U5SUnn34YHcXAZWPWFCa8PmPDZ,7zirxaxiGozcCXYy5D3iZM9VxVxbZqs3FxMVvV2nziFi,724391.11,0.07
